,I,I,I,I,I,II,II,II,II,II,IV,IV,IV,IV,IV,V,V,V,V,V,VIII,VIII,VIII,VIII,VIII,X,X,X,X,X,XI,XI,XI,XI,XI,XIII,XIII,XIII,XIII,XIII,XV,XV,XV,XV,XV,XVIII,XVIII,XVIII,XVIII,XVIII,XXI,XXI,XXI,XXI,XXI,XXII,XXII,XXII,XXII,XXII
,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co
2019-12-28,17,12,14,4,6,17,20,9, ,5,23,19,12, ,8,,,,,,16,15,19,2,6,22,18,14, ,7,8,16,9, ,3,19, ,12, ,4,23,15,16,1,9,21,13,14,1,6,20,4,4,7,5,14,16,8, ,4
2019-12-27,10,12,6,4,5,6,20,3, ,3,6,20,2,1,5,7,15,4,1,3,6,15,8,1,4,7,17,6, ,4,5,16,7,1,3,7,15,4,1,3,8,18,5,1,2,9,14,6,1,4,5,10,1,6,2,5,17,3,6,2
2019-12-26,13,12,9,4,5,6,21,4,1,3,9,20,5,2,5,9,16,7,1,3,9,16,12,1,4,10,18,9, ,4,6,18,9,1,3,9,16,5,1,3,11,18,8,1,3,12,15,10,1,4,5,11,1,6,4,8,16,5,6,1
2019-12-25,10,14,6,3,5,6,21,3,1,2,5,22,3,2,4,6,19,5,1,3,6,19,7,1,4,6,20,6, ,4,4,19,7,1,3,6,19,3,1,2,6,20,4,1,2,9,16,6,1,3,4,12,1,6,3,4,18,3,6,1
2019-12-24,10,14,7,3,5,8,21,3,1,2,10,20,6,2,4,9,17,7,1,3,8,17,11,1,4,8,19,9, ,4,6,16,11,1,3,9,17,6,1,3,9,19,7,1,3,13,14,9,1,4,9,9,1,6,5,7,17,5,6,1
2019-12-23,10,16,7,3,4,7,23,4,1,3,8,24,4,2,4,7,22,6,1,3,7,22,7,1,4,6,24,6, ,3,6,21,9,1,3,7,22,5,1,2,7,24,6,1,2,8,19,6,1,3,6,15,1,6,3,8,20,5,6,1
2019-12-22,7,16,6,3,5,5,24,3,2,2,4,21,3,2,4,4,20,6,1,2,4,19,8,1,4,4,20,6, ,4,3,20,6,1,3,4,19,5,1,2,4,20,6,2,3,7,17,6,1,3,3,12,1,5,3,3,19,5,5, 
2019-12-21,13,11,15,3,5,7,21,6,3,3,14,16,10,3,5,9,15,15,1,5,9,15,15, ,5,9,16,11, ,4,7,13,15,1,4,8,15,14,1,3,10,15,13,2,5,11,12,9,1,4,7,6,2,5,5,7,10,13,5,2
2019-12-20,41,3,23,4,7,24,20,10,3,3,31,11,13,2,6,26,10,20,1,5,30,9,18,1,7,22,17,10,2,4,22,5,22,1,6,25,10,18,1,4,24,13,10,2,4,25,16,6,2,4,20,6,1,6,6,19,10,12,6,2
2019-12-19,56,2,25,5,10,39,13,13,2,6,45,5,15,2,8,51,5,20,4,8,38,6,21,2,9,39,10,14,1,7,35,4,23,5,8,48,5,19,4,7,44,7,15,2,12,45,11,11,2,6,30,5,2,6,8,33,5,17,6,4
2019-12-18,50,1,19,4,9,35,3,13,1,7,50,3,12,1,8,41,2,18,2,7,43,1,18,1,9,45,1,17,1,8,32,2,19,2,7,47,2,16,2,6,51,1,15,1,12,48,3,15,2,7,38,2,3,6,10,36, ,18,6,5
2019-12-17,35,11,29,4,8,14,23,11,1,3,30,14,20,2,7,27,14,25,2,5,28,14,24,1,8,19,19,19,1,5,23,15,26,2,8,27,14,25,2,5,22,15,18,2,6,23,17,11,2,4,19,3,3,5,7,15,14,18,5,2
2019-12-16,46,6,28,5,10,24,22,11,1,4,33,13,16,2,8,27,6,24,5,8,35,12,21,2,10,25,19,16,2,5,25,13,24,5,9,31,6,25,5,5,34,15,16,2,11,27,20,7,3,4,23,7,2,6,9,20,14,15,6,2
2019-12-15,46,1,19,4,9,42,2,14,1,10,34,4,11,1,7,43,1,18,4,9,39,2,18,2,10,41,2,17, ,8,30,1,20,4,7,41,1,14,4,7,41,2,13,1,11,44,4,15,2,9,31,2,3,5,10,34, ,20,5,7
2019-12-14,31,5,26,4,9,18,17,12,1,6,29,9,19,2,7,25,11,17,5,6,23,10,22,1,8,24,11,18,2,6,20,10,21,2,6,26,10,21,2,7,26,11,16,2,8,26,12,11,3,5,22,6,3,5,8,19,11,14,6,3
2019-12-13,36,4,16,5,6,29,6,11,2,4,33,8,9,3,5,19,7,11, ,2,28,5,14,2,6,28,6,12,2,5,18,6,14,2,3,24,5,15,2,5,28,7,9,3,5,46,4,11,3,4,23,2,2,5,6,19,7,11, ,2
2019-12-12,31,2,19,5,7,21,7,10,3,5,36,5,15,4,6,26,3,14,5,4,23,4,19,2,8,31,6,14,3,6,24,4,17,2,4,30,4,17,2,6,31,6,13,4,8,30,7,11,4,5,26,2,2,10,7,26,3,14,5,4
2019-12-11,38,2,22,4,9,27,7,14,1,5,32,4,16,2,6,24,2,18,5,3,34,2,21,1,7,29,6,15,6,6,18,2,20,1,4,33,2,19,1,6,33,3,16,2,10,37,3,14,1,7,21,2,3,5,3,24,2,18,5,3
2019-12-10,34,10,28,4,8,19,19,16,1,6,33,12,24,2,7,22,14,21,5,4,27,13,31,2,8,28,13,26,9,9,22,13,26,2,5,30,13,24,2,6,33,8,25,2,13,33,13,24,2,9,25,6,6,5,6,22,14,21,5,4
2019-12-09,31,15,12,4,7,21,21,6,1,3,16,22,8,2,4,14,17,12,4,2,20,14,15,1,6,17,18,14,9,7,12,16,12,1,3,19,14,11,1,5,19,19,11,2,9,29,16,13,1,7,13,11,2,4,3,14,17,12,4,2
2019-12-08,42,5,17,4,10,25,7,12,1,6,43,8,12,2,7,31,10,15,4,5,30,7,17,1,9,36,9,15,9,10,27,7,16,1,6,39,7,15,1,7,40,10,12,2,14,43,9,12,1,10,29,2,3,4,6,31,10,15,4,5
2019-12-07,33,5,20,4,10,18,16,11,1,4,37,7,15,2,7,26,12,10,4,4,22,8,15,1,7,31,11,12,12,8,19,8,13,1,4,31,8,16,1,6,34,9,13,2,12,39,11,8,1,8,22,2,2,4,3,26,12,10,4,4
2019-12-06,43,5,20,4,9,26,8,13,1,6,40,7,15,2,7,34,12,11,4,5,27,7,16,1,6,34,11,14,13,7,24,8,13,1,3,28,7,17,1,5,29,8,13,2,11,45,10,10,2,7,28,2,2,4,1,34,12,11,4,5
2019-12-05,48,8,19,4,7,31,15,12,1,4,38,12,15,2,4,29,14,13, ,3,26,10,18,1,5,29,13,15,13,6,24,11,15,1,2,29,10,16,1,4,28,14,12,2,8,43,13,8,2,6,26,3,3,4,1,29,14,13, ,3
2019-12-04,40,9,21,4,6,30,16,13, ,3,36,15,13,2,4,27,17,11, ,3,23,12,19, ,5,28,16,13,12,6,23,11,19, ,2,29,12,15, ,4,27,17,11,2,7,42,16,8,1,6,22,2,3,3,1,27,17,11, ,3
2019-12-03,37,4,25,4,7,25,9,20, ,4,34,7,18,1,7,27,11,16, ,4,24,6,23,1,6,27,10,18,12,6,20,7,21,1,3,29,6,20,1,5,29,10,16,1,9,40,10,14,1,7,22,3,3,2,2,27,11,16, ,4
2019-12-02,20,14,19,4,6,19,20,10, ,3,25,20,14,2,9,18,19,16, ,3,12,18,20, ,4,20,19,19,12,5,11,17,18, ,2,20,18,16, ,4,24,18,16,2,9,26,16,18,1,7,16,6,3,3,4,18,19,16, ,3
2019-12-01,23,12,16,3,5,13,20,8,1,3,20,19,11,2,7,19,18,13, ,3,12,16,17, ,4,21,18,15,12,6,12,13,17, ,2,21,16,13, ,4,21,19,14,2,7,24,15,14,2,6,14,9,3,3,1,19,18,13, ,3
2019-11-30,21,10,24,3,6,16,18,13, ,3,29,17,18,2,10,16,18,14, ,3,21,15,24, ,5,24,17,21,12,7,15,13,21, ,2,22,15,20, ,4,24,20,16,2,9,33,19,15,2,7,18,7,3,2,3,16,18,14, ,3
2019-11-29,19,20,11,3,4,11,27,6,1,2,10,26,5,2,6,6,26,5, , ,11,24,12, ,3,8,26,12,12,5,7,20,12, ,1,8,24,8, ,2,9,25,8,2,5,17,22,10,1,5,11,16,1,2,1,6,26,5, , 
2019-11-28,29,6,25,3,8,12,19,12,1,4,26,9,19,3,12,18,10,16, ,4,23,7,23,1,8,24,7,20,12,9,14,7,19,1,4,22,7,23,1,8,24,6,19,3,14,28,8,16,1,9,22,1,3,2,5,18,10,16, ,4
2019-11-27,38,1,22,3,8,21,9,14,1,5,38,2,15,3,10,25,5,16, ,3,30,3,20, ,8,25,6,17,12,8,25,1,19, ,5,27,3,19, ,7,27,4,15,3,12,34,9,12,2,9,30,2,3,2,5,25,5,16, ,3
2019-11-26,51,3,22,4,7,36,10,14,2,4,46,7,16,3,9,32,8,14, ,2,34,4,20, ,6,36,6,18,12,7,29,4,17, ,3,38,4,18, ,5,37,10,12,3,9,40,8,10,2,7,33,2,2,2,4,32,8,14, ,2
2019-11-25,47, ,27,4,9,34,3,16,3,6,54,1,21,3,13,36,1,25, ,6,52,1,32,2,11,47,1,26,11,11,35,1,28,2,6,50,1,26,2,9,53, ,20,3,20,52,1,26,2,13,47,2,5,2,10,36,1,25, ,6
2019-11-24,45,2,24,4,9,31,7,14,3,7,41,4,17,3,10,24,8,20, ,3,36,3,26,4,10,32,10,21,11,9,26,2,24,4,4,39,3,22,4,7,46,2,20,3,16,38,9,20,2,9,30,2,3,1,7,24,8,20, ,3
2019-11-23,18,10,17,3,6,12,17,7,3,3,21,17,11,2,7,11,17,9, ,1,14,14,15,3,5,14,18,8,10,5,12,9,17,3,2,16,14,13,3,4,17,18,9,2,8,17,15,8,2,6,13,9,2,1,3,11,17,9, ,1
2019-11-22,18,8,16,3,5,9,14,6,4,2,12,15,9,3,6,7,13,8, , ,11,11,14,3,4,8,15,9,9,4,7,7,16,3,1,10,11,11,3,3,9,16,7,3,5,11,14,5,2,5,10,8,1,1,2,7,13,8, , 
2019-11-21,26,7,17,3,5,13,12,8,3,2,11,12,9,2,6,6,14,8, ,1,16,9,14,3,5,8,13,12,8,4,9,8,14,3,1,9,9,11,3,5,8,14,7,2,6,14,13,6,2,5,8,9,2,6,3,6,14,8, ,1
2019-11-20,29,10,20,3,8,19,18,9,3,4,30,17,12,3,7,15,17,12, ,2,19,15,16,3,7,19,18,12,10,5,19,12,16,3,3,23,15,15,3,6,21,19,9,3,8,23,16,8,2,6,17,14,2,11,3,15,17,12, ,2
2019-11-19,40,5,23,3,6,24,15,10,3,3,34,14,13,2,7,19,14,15, ,2,23,12,19,3,6,22,19,9,11,5,21,8,21,3,3,28,12,19,3,6,25,18,12,2,7,29,14,10,1,6,22,12,2,11,3,19,14,15, ,2
2019-11-18,38,5,26,3,7,19,15,13,3,4,28,12,18,2,7,15,13,20, ,2,27,8,23,3,6,20,16,17,10,5,22,4,25,3,4,25,8,21,3,5,23,15,14,2,9,27,14,16,1,6,20,11,3,11,4,15,13,20, ,2
2019-11-17,31,10,25,3,6,14,21,10,3,2,24,19,15,2,6,13,20,14, ,1,22,15,20,3,6,17,21,15,9,5,18,17,19,3,3,19,15,18,3,5,17,20,13,2,7,21,18,10,1,5,16,15,2,10,4,13,20,14, ,1
2019-11-16,31,11,18,3,6,17,21,6,4,2,25,21,7,3,5,14,21,8, ,1,20,17,13,3,5,17,22,7,9,4,17,11,17,3,2,21,17,11,3,5,20,23,7,3,6,21,20,5,2,4,15,18,2,11,3,14,21,8, ,1
2019-11-15,38,3,18,3,6,21,12,9,4,2,33,6,11,2,5,18,9,14, ,2,26,3,17,3,6,20,13,11,7,4,22,3,18,3,3,26,3,16,3,5,25,6,12,2,8,26,10,10,2,5,21,7,3,10,3,18,9,14, ,2
2019-11-14,38,3,21,3,6,24,12,11,4,3,39,11,11,3,6,21,12,14, ,2,25,6,18,3,6,25,13,13,8,5,23,5,19,3,3,30,6,16,3,5,29,13,11,3,9,31,11,10,2,5,24,9,3,9,4,21,12,14, ,2
2019-11-13,25,9,17,3,5,17,13,11,3,3,18,11,11,2,5,15,13,16, ,2,18,10,16,3,4,20,12,16,10,5,14,9,18,3,2,19,10,14,3,3,20,11,13,2,7,25,9,16,1,6,16,7,3,8,4,15,13,16, ,2
2019-11-12,34,9,25,3,8,19,19,10,4,2,32,18,12,3,5,13,19,13, ,1,28,13,20,3,7,19,20,14,12,4,18,10,22,3,4,23,13,18,3,5,22,21,12,3,7,24,22,8,2,4,18,5,3,8,4,13,19,13, ,1
2019-11-11,25,5,22,6,8,19,11,10,3,3,29,7,13,2,5,17,7,18, ,6,18,5,21,3,8,20,11,12,9,4,17,5,20,3,3,24,5,19,3,4,25,7,17,2,10,22,9,10, ,5,17,6,3,8,3,17,7,18, ,6
2019-11-10,29,6,19,2,9,18,12,12,3,3,28,11,12,1,5,19,11,14, ,3,20,9,17,3,9,23,11,14,9,5,15,8,15,3,2,25,9,15,3,4,24,12,13,3,7,21,11,11,1,6,18,8,2,8,3,19,11,14, ,3
2019-11-09,12,6,11,2,8,9,8,6,3,2,14,4,7,1,5,11,7,9, ,2,9,6,11,2,8,14,4,12,8,4,8,6,11,2,1,12,6,9,2,3,14,4,9,2,5,10,4,10, ,5,9,3,2,7,3,11,7,9, ,2
2019-11-08,24,5,17,2,9,16,11,8,3,2,25,9,10,1,5,16,9,9, ,3,15,6,15,2,9,17,10,11,7,4,15,5,14,2,2,18,6,12,2,4,17,10,9,2,5,15,9,8, ,6,17,5,2,7,4,16,9,9, ,3
2019-11-07,27,8,18,2,8,20,16,8,3,2,28,17,9,1,5,15,15,9, ,2,18,13,14,2,8,15,18,8,7,3,16,9,17,2,2,17,13,12,2,3,16,19,7,2,3,15,14,6, ,4,16,12,1,6,3,15,15,9, ,2
2019-11-06,37,5,21,2,9,23,9,11,3,3,39,4,16,1,6,20,8,17, ,3,27,4,20,2,9,26,7,18,9,5,21,6,18,2,3,29,4,19,2,5,31,3,17,2,8,24,8,13, ,6,25,4,3,6,5,20,8,17, ,3
2019-11-05,20,10,18,2,8,13,20,8,3,3,21,18,11,2,5,12,17,15, ,2,14,15,16,2,8,17,15,17,9,4,11,15,15,2,2,16,15,15,2,4,18,17,12,2,6,14,15,13, ,6,16,11,3,6,4,12,17,15, ,2
2019-11-04,25,2,22,2,10,11,14,12,4,2,25,5,15,1,5,11,7,16, ,3,16,5,19,3,10,16,8,15,9,5,16,5,19,3,3,20,5,17,3,4,19,7,14,2,6,12,8,13, ,6,14,4,3,5,4,11,7,16, ,3
2019-11-03,24,8,20,2,9,14,15,7,4,1,20,11,12,1,5,9,15,14, ,2,17,8,19,3,9,12,9,19,10,4,10,8,18,3,2,14,8,16,3,3,14,10,14,3,6,12,9,13,1,5,10,6,3,5,3,9,15,14, ,2
2019-11-02,34,2,19,2,10,28,11,8,4,2,38,8,8,2,5,21,14,9, ,3,24,4,14,3,10,26,10,11,10,4,25,2,17,3,4,29,4,13,3,4,29,11,8,3,6,19,13,6,1,5,22,9,2,4,4,21,14,9, ,3
2019-11-01,25,10,13,3,7,21,15,7,4,2,31,15,7,2,4,19,16,9, ,2,16,13,10,3,7,25,15,9,9,3,17,13,11,3,2,28,13,9,3,2,28,16,7,3,5,14,14,6,1,4,17,12,1,4,3,19,16,9, ,2
2019-10-31,29,12,19,2,8,21,21,9,2,2,22,22,8,2,3,19,22,12, ,2,21,19,13,3,8,24,22,12,11,3,16,17,14,3,2,24,19,12,3,3,23,22,10,2,5,19,20,9,1,4,18,15,2,3,3,19,22,12, ,2
2019-10-30,23,13,22,2,8,20,22,12,2,3,23,19,14,2,4,15,19,18, ,2,19,16,21,3,8,23,18,19,11,4,13,12,21,3,2,21,16,18,3,3,24,18,17,2,8,17,17,16,1,6,21,14,3,3,5,15,19,18, ,2
2019-10-29,23,9,17,2,7,16,16,9,2,2,25,11,12,5,5,18,12,18, ,3,19,9,19,3,7,22,9,19,6,4,14,6,19,3,3,21,9,17,3,5,22,10,16,2,7,17,9,17,1,6,20,7,3,3,4,18,12,18, ,3
2019-10-28,23,8,18,2,7,15,12,9,3,1,21,12,13,3,4,13,14,14, ,2,16,10,18,2,7,17,14,17,5,3,11,9,15,2,1,18,10,14,2,6,19,14,14,2,7,2,13,14, ,4,13,10,3,2,3,13,14,14, ,2
2019-10-27,42,14,18,2,8,25,21,6,2,1,42,16,11,3,6,29,22,17, ,4,43,15,20,3,8,37,17,19,7,5,22,15,19,3,3,41,15,18,3,8,37,16,12,2,11,20,16,17,1,8,34,13,4,2,7,29,22,17, ,4
2019-10-26,53,10,31,2,10,39,33,11,3,3,68,26,21,3,8,45,35,21, ,5,55,26,30,3,10,54,32,24,9,6,44,17,29,3,7,54,26,27,3,9,56,29,19,3,13,21,33,19,1,7,54,18,4,3,9,45,35,21, ,5
2019-10-25,58,11,27,2,9,46,25,11,2,3,59,18,21,3,8,46,28,16, ,4,52,19,28,3,9,52,23,23,7,5,46,14,27,3,6,55,19,26,3,8,52,22,18,2,12,25,23,20,1,7,48,12,5,3,7,46,28,16, ,4
2019-10-24,58,15,24,2,8,49,30,12,3,3,53,28,17,2,4,40,35,21, ,4,58,20,31,3,8,52,25,27,7,6,40,17,29,3,5,51,20,23,3,7,52,27,19,3,11,33,23,26,1,5,46,14,6,3,6,40,35,21, ,4
2019-10-23,61,14,35,3,10,51,30,16,3,4,58,32,21,4,2,45,38,21, ,3,57,25,37,3,10,52,33,25,10,8,47,14,39,3,6,59,25,31,3,8,60,36,21,4,12,45,34,20,2,5,48,20,4,5,5,45,38,21, ,3
2019-10-22,45,17,26,2,9,31,37,8,3,2,48,33,15,2,2,30,41,14,3,3,46,28,26,2,9,41,40,18,9,7,35,20,28,2,6,42,28,23,2,7,45,37,14,2,11,37,36,16,1,4,38,6, ,4,4,30,41,14,3,3
2019-10-21,45,9,26,2,8,33,22,11,2,2,46,17,21,2,3,26,22,23,4,3,49,16,30,3,7,38,20,23,7,9,35,11,31,3,6,42,16,27,3,8,40,19,21,2,12,36,22,21,1,5,35,1, ,4,5,26,22,23,4,3
2019-10-20,54,13,28,2,8,25,30,11,3,1,37,26,20,2,4,22,28,15,4,2,38,23,26,2,8,25,29,18,7,6,30,16,29,2,6,34,23,27,2,7,33,29,17,2,8,25,28,11,1,3,27,3, ,4,2,22,28,15,4,2
2019-10-19,35,17,28,2,8,16,34,4,2, ,23,31,14,2, ,14,33,9,3,1,27,30,18,2,8,18,33,13,7,5,21,26,21,2,4,22,30,20,2,5,21,31,10,2,6,16,30,6, ,3,16,3, ,3,2,14,33,9,3,1
2019-10-18,33,16,28,2,9,16,32,7,2,1,25,29,15,1,3,18,31,16,3,2,32,28,20,2,9,20,32,16,7,6,21,26,19,2,4,26,28,21,2,6,24,29,14,2,8,22,30,9, ,3,18,2, ,3,2,18,31,16,3,2
2019-10-17,35,11,30,2,8,20,28,13,2,2,35,25,19,1,3,22,26,25,3,4,40,22,28,3,8,30,26,22,7,7,25,21,26,3,6,31,22,26,3,7,31,27,19,2,11,26,27,18,1,5,32,2,2,3,5,22,26,25,3,4
2019-10-16,24,9,28,2,8,12,20,13,2,2,22,16,18,2,8,15,20,21,3,3,24,15,25,2,8,19,17,21,7,7,20,12,26,2,5,26,15,23,2,6,22,17,18,2,10,18,20,19,1,5,21,1,1,3,4,15,20,21,3,3
2019-10-15,45,10,24,2,8,22,18,10,2,1,31,13,15,2,8,21,17,18, ,2,43,9,26,3,8,31,13,22,8,7,25,10,24,3,5,32,9,21,3,6,29,12,17,1,8,32,12,21,1,5,28,1, ,3,3,21,17,18, ,2
2019-10-14,49,13,33,2,9,33,27,13,2,3,44,28,19,1,8,28,32,18, ,2,43,24,28,2,9,38,31,22,8,7,31,23,26,2,4,40,24,26,2,6,41,32,18,2,8,35,29,15,1,4,34,4, ,3,4,28,32,18, ,2
2019-10-13,39,13,30,2,9,27,28,13,2,3,40,29,19,5,9,25,30,23, ,3,35,24,28,2,9,33,31,23,7,7,28,19,29,2,5,37,24,27,2,7,38,30,18,1,9,30,32,19,1,5,32,3, ,3,5,25,30,23, ,3
2019-10-12,29,15,23,2,7,21,29,9,2,2,36,28,14,2,9,19,32,19, ,3,30,26,22,2,7,24,32,17,7,6,22,23,23,2,5,27,26,20,2,6,29,30,15,1,9,22,30,15,1,5,26,3,3,3,4,19,32,19, ,3
2019-10-11,32,14,26,3,7,19,29,10,3,2,26,29,17,3,6,16,29,13, ,2,22,26,23,3,7,16,31,14,8,5,22,21,22,3,5,21,26,20,3,5,19,30,14,2,6,17,28,7,1,3,17,3,2,3,3,16,29,13, ,2
2019-10-10,17,14,23,2,6,8,27,8,2,1,14,25,14,2,6,9,23,15, ,1,15,22,18,2,6,14,21,16,8,5,11,22,15,2,3,14,22,17,2,4,15,24,14,1,6,12,23,10, ,3,9,2,2,2,2,9,23,15, ,1
2019-10-09,25,17,16,5,5,9,28,6,5,1,12,26,7,2,3,5,27,10, ,1,13,26,12,2,5,13,27,12,6,4,7,24,10,2,2,10,26,10,2,3,11,26,9,1,3,9,24,8, ,2,7,5,1,2,1,5,27,10, ,1
2019-10-08,30,15,23,3,6,14,32,8,3,5,25,29,14,2,12,19,30,12, ,1,23,27,15,3,6,24,30,11,8,4,18,26,12,3,2,28,27,16,3,4,27,30,12,6,12,14,29,5,1,2,16,7,1,3,2,19,30,12, ,1
2019-10-07,27,15,21,2,6,17,29,9,2,3,23,26,13,1,4,14,27,15, ,1,25,26,17,3,6,19,27,14,7,5,16,24,16,3,3,25,26,18,3,4,24,27,12,1,4,19,28,10,1,3,13,5,2,3,2,14,27,15, ,1
2019-10-06,12,16,10,2,4,8,25,3,2,2,14,25,10,1,2,11,24,10, ,1,7,20,9,2,4,13,26,11,8,5,6,17,9,2,2,8,20,5,2,3,12,25,9,2,2,12,22,10,1,3,11,11,2,2,1,11,24,10, ,1
2019-10-05,19,7,20,2,6,13,16,7,2,2,8,24,4,1,2,7,24,7, , ,18,14,16,2,6,7,21,8,6,4,11,14,13,2,2,15,14,15,2,4,8,21,6,1,2,8,20,5, ,2,7,7,2,2,1,7,24,7, , 
2019-10-04,22,12,16,2,5,10,24,7,2,3,22,13,15,1,3,12,16,12, , ,12,18,18,2,5,14,15,13,5,4,11,14,17,2,3,13,18,14,2,3,16,12,13,1,3,20,14,9, ,3,13,1,10,2,1,12,16,12, , 
2019-10-03,23,17,7,1,4,8,23,3,1,1,15,21,12,1,3,12,23,12, ,1,9,21,8,2,129,14,21,14,6,5,7,19,8,2,1,9,21,6,2,2,16,20,12,1,3,13,21,12, ,3,12,3,12,2,2,12,23,12, ,1
2019-10-02,36,15,23,2,5,22,30,8,2,2,8,24,3,1,1,6,24,6, , ,28,24,19,3,7,8,23,7,5,3,29,21,19,3,4,24,24,16,3,4,8,23,7,1,1,16,20,6,1,4,5,10,5,2, ,6,24,6, , 
2019-10-01,63,18,5,1,3,20,25,2,1,1,27,26,11,2,3,16,29,12, , ,19,23,5,2,5,19,26,14,6,4,4,19,6,2,1,5,23,4,2,2,23,28,12,2,3,27,20,12, ,5,19,3,9,2,2,16,29,12, , 
2019-09-30,49,22,15,1,4,21,33,3,1,1,9,25,2,1, ,3,27,3, , ,24,29,12,2,6,5,22,6,6,3,35,24,11,2,2,28,29,11,2,3,6,23,4,1, ,24,17,5, ,4,7,7,3,2,1,3,27,3, , 
2019-09-29,15,18,18,2,5,7,33,3,2,1,25,32,9,1,2,21,33,11, ,1,13,29,15,3,7,24,31,10,6,3, ,28,10,3,2,10,29,13,3,3,29,32,8,1,2,27,23,6, ,4,15,7,11,2,1,21,33,11, ,1
2019-09-28,36,17,20,2,5,10,28,5,2,1,15,29,11,2,2,7,43,8, ,1,17,22,18,2,7,10,32,11,6,4, ,21,17,2,3,15,22,15,2,3,11,30,9,2,2,13,22,7, ,5,10,2,8,2,2,7,43,8, ,1
2019-09-27,27,12,27,2,6,12,27,8,2,2,20,26,12,1,2,9,39,11, ,1,24,22,22,2,8,11,26,12,6,4, ,20,21,2,4,19,22,20,2,4,10,25,12,1,2,16,18,9, ,5,11,3,11,2,2,9,39,11, ,1
2019-09-26,33,17,16,1,4,13,27,4,1,1,23,22,17,1,4,16,37,17, ,2,17,24,13,2,6,15,24,17,6,5, ,21,15,2,2,16,24,11,2,3,17,24,13,1,4,27,17,13, ,5,19,3,17,2,2,16,37,17, ,2
2019-09-25,43,14,24,1,5,30,24,10,1,2,21,28,11,1,3,11,41,7, ,1,42,23,22,2,8,14,26,15,7,4, ,21,21,2,7,39,23,20,2,4,17,27,12,1,3,26,18,14, ,5,18,10,7,2,2,11,41,7, ,1
2019-09-24,31,17,22,2,5,22,26,10,2,2,46,23,19,1,5,33,40,15, ,2,25,23,20,3,7,37,27,18,6,5,18,19,23,3,7,25,23,17,3,3,42,25,16,1,5,48,19,12, ,5,29,11,15,2,3,33,40,15, ,2
2019-09-23,36,11,22,2,4,22,23,10,2,2,26,27,14,1,4,21,25,25, ,2,31,16,22,3,6,23,29,17,6,4,20,16,20,3, ,26,16,17,3,5,24,25,15,2,4,28,21,16,1,4,12,4,25,2,3,21,25,25, ,2
2019-09-22,21,22,24,2,4,13,37,9,2,2,23,21,11,1,3,20,14,27, ,2,23,33,22,3,7,29,22,14,6,3,18,24,23,3, ,20,33,19,3,8,27,18,15,2,3,32,19,14,1,3,25,7,27,2,3,20,14,27, ,2
2019-09-21,19,21,22,2,4,11,34,9,2,2,22,36,14,1,4,15,26,23, ,1,18,32,21,3,6,19,37,15,5,4,22,26,20,3, ,14,32,16,3,7,20,37,14,1,4,26,35,15, ,1,25,10,23,2,4,15,26,23, ,1
2019-09-20,27,18,19,2,3,10,30,7,2,2,21,33,15,1,4,11,17,25, ,1,13,25,16,3,5,16,34,17,4,3,16,22,14,3,6,10,25,9,3,5,20,34,14,1,4,18,32,14, ,1,21,3,25,2,3,11,17,25, ,1
2019-09-19,58,20,16,1,3,14,31,5,1,1,12,29,10,1,2,9,16,24, ,1,15,28,18,2,5,12,27,15,3,2,13,24,17,2,6,17,28,14,2,2,12,28,12,1,2,14,19,16, ,2,15,4,24,1,2,9,16,24, ,1
2019-09-18,23,22,10,1,2,15,29,4,2,1,22,30,11,1,1,10,17,23, , ,12,27,9,2,4,15,31,16,4,2,17,25,11,2,5,15,27,8,2, ,12,29,11,1,1,21,30,14, , ,18,21,23,1,2,10,17,23, , 
2019-09-17,26,21,15,2,3,13,26,3,3,1,11,29,5,1,1,9,41,11, , ,16,29,13,2,5,12,29,9,5,2,13,25,12,2,6,15,29,11,2,1,13,29,6,1,1,15,28,7, , ,12,34,11,1,1,9,41,11, , 
2019-09-16,30,27,22,1,4,12,39,5,2,1,19,25,11,1,2,10,45,9, ,1,27,37,24,3,7,14,29,16,5,3,21,29,21,3,7,24,37,22,3,3,15,28,11,1,2,20,26,11, , ,17,21,9,1,2,10,45,9, ,1
2019-09-15,18,24,16,1,3,9,33,5,2,1,22,43,14,1,4,15,61,16, ,1,15,35,17,2,5,19,38,21,6,3,13,33,15,2,6,11,35,14,2,1,20,43,15,1,4,30,36,14,6,3,24,35,16,1,2,15,61,16, ,1
2019-09-14,31,24,13,1,3,9,30,3,2, ,10,36,10,1,2,10,50,9, ,1,14,30,13,2,5,12,38,12,5, ,11,27,10,2,5,10,30,9,2,1,13,37,11,1,2,14,34,9, ,3,19,31,9,2,2,10,50,9, ,1
2019-09-13,40,22,21,1,4,12,33,7,2,1,12,31,9,1,2,8,45,8, ,1,15,33,17,2,5,11,33,11,4, ,17,26,21,2,7,14,33,15,2,1,12,32,11,1,2,16,31,8, ,3,16,28,8,1,2,8,45,8, ,1
